iter	Passed	Remaining
456	828	984
457	830	982
458	832	980
459	833	978
460	834	975
461	835	973
462	837	970
463	838	968
464	839	965
465	840	963
466	841	960
467	843	958
468	844	956
469	845	953
470	847	951
471	848	949
472	849	946
473	851	944
474	852	942
475	853	939
476	854	937
477	855	934
478	857	932
479	858	929
480	859	927
481	861	926
482	863	923
483	864	921
484	865	919
485	867	916
486	868	914
487	869	912
488	870	909
489	872	907
490	873	905
491	874	903
492	876	901
493	877	899
494	878	896
495	880	894
496	882	892
497	883	890
498	884	888
499	886	886
500	887	883
501	888	881
502	890	879
503	891	877
504	893	875
505	894	873
506	895	871
507	897	868
508	898	866
509	899	864
510	901	862
511	902	860
512	903	858
513	905	856
514	907	854
515	908	851
516	909	849
517	910	847
518	912	845
519	913	842
520	914	840
521	915	838
522	916	836
523	918	834
524	919	831
525	921	830
526	922	827
527	923	825
528	924	823
529	926	821
530	927	819
531	928	816
532	929	814
533	931	812
534	932	810
535	933	808
536	935	806
537	936	804
538	938	802
539	939	800
540	940	798
541	942	796
542	943	794
543	945	792
544	946	790
545	947	788
546	949	786
547	950	784
548	952	782
549	953	780
550	954	777
551	955	775
552	957	773
553	958	771
554	959	769
555	960	767
556	962	765
557	963	763
558	964	761
559	966	759
560	967	757
561	969	755
562	970	753
563	971	751
564	973	749
565	974	747
566	976	745
567	977	743
568	979	741
569	980	739
570	982	737
571	983	735
572	984	733
573	986	731
574	987	729
575	988	727
576	989	725
577	991	723
578	992	721
579	993	719
580	995	717
581	996	715
582	998	713
583	999	711
584	1000	709
585	1001	707
586	1003	705
587	1004	703
588	1005	701
589	1006	699
590	1008	697
591	1009	695
592	1011	694
593	1012	692
594	1014	690
595	1015	688
596	1016	686
597	1018	684
598	1019	682
599	1021	680
600	1022	679
601	1025	677
602	1027	676
603	1029	675
604	1031	673
605	1032	671
606	1035	670
607	1037	668
608	1038	666
609	1043	667
610	1045	665
611	1047	663
612	1048	662
613	1050	660
614	1051	658
615	1053	656
616	1055	655
617	1057	653
618	1059	652
619	1060	650
620	1062	648
621	1063	646
622	1065	644
623	1066	642
624	1068	640
625	1069	639
626	1073	638
627	1075	636
628	1076	634
629	1077	633
630	1079	631
631	1080	629
632	1082	627
633	1083	625
634	1086	624
635	1088	623
636	1090	621
637	1091	619
638	1093	617
639	1095	616
640	1096	614
641	1098	612
642	1099	610
643	1102	609
644	1104	607
645	1105	605
646	1107	604
647	1108	602
648	1110	600
649	1111	598
650	1113	596
651	1115	595
652	1118	594
653	1119	592
654	1121	590
655	1122	588
656	1124	586
657	1126	585
658	1128	583
659	1130	582
660	1132	580
661	1134	579
662	1135	577
663	1137	575
664	1138	573
665	1139	571
666	1141	569
667	1142	568
668	1145	566
669	1146	564
670	1148	563
671	1150	561
672	1151	559
673	1153	557
674	1154	555
675	1155	554
676	1157	552
677	1160	551
678	1162	549
679	1164	548
680	1166	546
681	1167	544
682	1168	542
683	1170	540
684	1172	538
685	1173	537
686	1175	535
687	1179	534
688	1181	533
689	1182	531
690	1184	529
691	1186	527
692	1187	526
693	1190	524
694	1192	523
695	1194	521
696	1195	519
697	1197	518
698	1198	516
699	1200	514
700	1201	512
701	1202	510
702	1205	509
703	1206	507
704	1209	505
705	1210	504
706	1211	502
707	1213	500
708	1214	498
709	1215	496
710	1217	494
711	1220	493
712	1223	492
713	1224	490
714	1226	488
715	1227	487
716	1229	485
717	1231	483
718	1232	481
719	1235	480
720	1237	478
721	1239	477
722	1240	475
723	1242	473
724	1243	471
725	1245	469
726	1246	468
727	1248	466
728	1250	464
729	1251	463
730	1254	461
731	1255	459
732	1257	457
733	1258	456
734	1259	454
735	1261	452
736	1262	450
737	1265	449
738	1268	448
739	1270	446
740	1271	444
741	1273	442
742	1274	440
743	1275	438
744	1277	437
745	1279	435
746	1281	434
747	1283	432
748	1285	430
749	1286	428
750	1288	427
751	1289	425
752	1291	423
753	1292	421
754	1295	420
755	1298	418
756	1299	417
757	1301	415
758	1302	413
759	1304	411
760	1306	410
761	1307	408
762	1310	406
763	1312	405
764	1314	403
765	1315	401
766	1317	400
767	1320	398
768	1321	396
769	1322	395
770	1325	393
771	1327	392
772	1329	390
773	1330	388
774	1331	386
775	1333	384
776	1335	383
777	1336	381
778	1337	379
779	1340	378
780	1342	376
781	1344	374
782	1345	372
783	1347	371
784	1348	369
785	1349	367
786	1351	365
787	1352	363
788	1354	362
789	1356	360
790	1358	358
791	1359	357
792	1360	355
793	1362	353
794	1364	351
795	1365	349
796	1366	348
797	1369	346
798	1372	345
799	1373	343
800	1375	341
801	1376	339
802	1378	338
803	1379	336
804	1381	334
805	1382	332
806	1385	331
807	1387	329
808	1389	327
809	1390	326
810	1392	324
811	1393	322
812	1395	320
813	1396	319
814	1399	317
815	1401	315
816	1403	314
817	1405	312
818	1406	310
819	1408	309
820	1409	307
821	1411	305
822	1414	304
823	1416	302
824	1418	300
825	1419	299
826	1421	297
827	1422	295
828	1424	293
829	1425	291
830	1427	290
831	1430	288
832	1432	287
833	1433	285
834	1435	283
835	1436	281
836	1437	280
837	1439	278
838	1440	276
839	1442	274
840	1444	273
841	1446	271
842	1447	269
843	1448	267
844	1450	266
845	1451	264
846	1452	262
847	1454	260
848	1455	258
849	1458	257
850	1460	255
851	1462	254
852	1463	252
853	1464	250
854	1466	248
855	1467	246
856	1468	245
857	1470	243
858	1472	241
859	1474	240
860	1477	238
861	1478	236
862	1480	234
863	1481	233
864	1482	231
